album_id,name,lastfm_playcount,lastfm_listeners,artist_id
1,1989,5153810,56798,2
2,x,1128578,25634,4
3,In the Lonely Hour,1314365,71085,5
4,Jealous,0,1,7
6,Shake It Off,520856,107117,2
7,All About That Bass,1120982,198065,6
8,For You,884742,76258,11
9,American Beauty / American Psycho,471062,9903,13
10,No Type,132447,33039,16
11,Truth Serum,1498939,183685,21
12,Hot Boy,16445,4805,25
13,1000 Forms of Fear,0,0,15
14,Native,0,0,29
15,Rude,685258,135263,33
16,Something In the Water,60787,19077,36
17,Sledgehammer,0,1,39
18,Love Me Like You Do,577865,98653,40
19,Try Me,43250,15204,42
20,Let It Go,266442,48886,43
21,Moonshine In The Trunk,93825,11694,52
22,The Big Revival,88627,13984,57
23,I Don't Dance,10247,1284,62
24,"Old Boots, New Dirt",82702,6528,63
25,A.M.,0,1,66
26,2014 Forest Hills Drive,1338966,65810,71
27,Fuse,435151,24120,75
28,Cole Swindell,112026,12242,80
29,Blank Space,15738,4126,81
30,Take It On Back,5280,1371,83
31,Days of Gold,222950,31587,85
32,Title,478631,44807,6
33,A Guy Walks Into a Bar,22979,7171,87
34,Bringing Back the Sunshine,123650,16215,89
35,Anaconda,592650,106600,92
36,Black Star Elephant,0,0,96
37,"The Hunger Games: Mockingjay, Part 1",12852,395,98
38,Sweet Talker,732461,57953,102
39,SUCKER,1970563,69123,104
40,Can't Stop Dancin',108234,28589,106
41,Merry Christmas,2905027,480566,110
42,SremmLife,403144,34911,16
43,"Songs of Anarchy, Vol. 4",0,1,122
44,0 To 100 / The Catch Up,295040,73736,123
45,Burnin' It Down,48071,13243,63
46,Pain Killer,80948,11932,125
47,PRISM,7945394,318876,133
48,Crash My Party,889875,70838,46
49,Boom Clap,745118,137953,104
50,Girl,81329,5145,137
51,Sunshine & Whiskey,101598,17426,139
52,5 Seconds of Summer,1219496,86748,141
53,Four,1214470,13572,34
54,Am I Wrong,0,1,96
55,Maps,0,1,9
56,No Label II,141679,15648,143
57,SHMURDA SHE WROTE,40964,7896,25
58,Thriller,7868200,941444,147
59,Upside Out,124550,28625,150
60,American Kids,81539,25723,57
61,Ghost Stories,5010887,218844,151
62,Ignite The Night,0,1,159
63,Shower,637570,121470,106
64,Glenn Campbell I'll Be Me Soundtrack,165,19,163
65,Bo$$,202802,40667,39
66,The Days,407406,98656,164
67,Errrbody,0,1,167
68,Later On,24468,6757,168
69,Bartender,54088,12462,170
70,U Guessed It,2200,580,173
71,Riser,244050,32362,176
72,Anything Goes,151044,15166,47
73,Angel in Blue Jeans,92995,29908,177
74,This Is All Yours,5634998,212286,179
75,The Pinkprint,1103660,59409,92
76,The New Classic,0,0,188
77,XSCAPE,0,1,189
78,Good Kisser,98224,31411,191
79,Turn Down for What,370563,101374,192
80,V,1697675,112973,9
81,River Bank,42942,11815,52
82,Blacc Hollywood,0,1,197
83,I Don't Dance (Single),61087,15798,62
84,We Are Tonight,128975,20183,198
85,Lunatic,0,0,200
86,Lights Out,762856,64047,201
87,Shakira.,761561,28308,204
88,MKTO,663058,115407,205
89,Bad Blood,7327560,372229,206
90,I'm Ready,15377,2829,208
91,Now That's What I Call Music! 51,1382,326,210
92,Me and My Broken Heart,458041,95315,211
93,Na Na,140927,37626,186
94,Chasing the Sun,145021,14434,216
95,Not a Bad Thing,417671,93650,217
96,Pure Heroine,0,0,98
97,Happy Little Pill,152983,33052,220
98,She Twerkin,21509,7968,224
99,Love Is Everything,110424,12002,227
100,Pioneer,396117,31741,228
101,Never Regret,56275,9056,233
102,Bring You Back,203887,27546,67
103,Night Visions,0,0,59
104,Pop Psychology,374509,32862,245
105,The Blessed Unrest,1990538,114113,246
106,Ultraviolence,0,0,243
107,Magic,1506184,252888,151
108,Raging Fire,54387,16880,249
109,Xo,323319,86613,253
110,All the Little Lights,0,0,256
111,It Goes Like This,0,0,61
112,Thuga Thug,877,122,259
113,High Noon,53570,11474,263
114,More Than Just a Dream,862090,79654,264
115,Fever,521987,132329,265
116,Halcyon Days,4802065,260071,40
117,Oxymoron,1004220,40715,275
118,Based On A True Story...,446101,45999,89
119,AM,32570548,565945,285
120,Zion,459430,21244,286
121,Slow Me Down,70321,10738,289
122,Night Train,724336,46650,63
123,Unorthodox Jukebox,8752867,467937,296
124,The Andrea Faustini Collection,1423,33,291
125,ARTPOP,19937532,215422,298
126,See You Tonight,151856,22113,126
127,Tribute,0,1,302
128,Rebellious Soul,124921,8479,303
