artist_id,name,all_tracks,all_albums
1,Mark Ronson Featuring Bruno Mars,[1],[]
2,Taylor Swift,"[2, 9, 72, 113, 187, 189, 194, 537, 581, 714, 736, 871, 897, 907, 974, 976, 977, 980, 1019, 1105, 1188, 1322, 1350, 1360, 1370, 1494, 1506, 1691, 1788, 1868, 1869, 1870, 1871, 1872, 1874, 1875, 1887, 2105, 2163, 2176, 2250, 2258, 2347, 2352, 2357, 2359, 2360, 2361, 2463, 2573, 2613, 2636, 2772, 2773, 2774, 2824, 2867, 2936, 2961, 3001, 3496, 6941, 7137, 7140, 7144, 7145, 7147, 7151, 8777, 8778, 8779, 8780, 8781, 8782, 8783, 8784, 8785, 9194, 9195, 9196, 9213, 9243, 10651, 10652, 11031, 11032, 11033, 11034, 11035, 11036, 11037, 11038, 14816, 14817, 14818]","[1, 6, 252, 266, 278, 305, 554, 777, 792]"
3,Hozier,"[3, 8990, 9009, 9075, 9108, 23197, 23198, 23199, 23200, 23201, 23202, 23203, 23204, 23205, 23206, 23207, 23208]",[1827]
4,Ed Sheeran,"[4, 27, 135, 263, 317, 362, 716, 863, 8442, 8450, 8453, 8454, 8957, 8969, 9197, 9198, 9199, 9200, 9201, 9202, 9203, 9204, 10319, 10320, 10321, 10322, 10323, 10324, 10325, 10326, 10327, 10328, 10329, 10330, 10331, 10332]","[2, 210]"
5,Sam Smith,"[5, 21, 139, 353, 8373, 8975, 9002, 9094, 9205, 9206, 9207, 9208, 9209, 9210, 9211]",[3]
6,Meghan Trainor,"[6, 10, 95, 119, 9047, 9128, 9214, 9244, 9343, 9344, 9345, 9346, 9347, 9348, 9349, 9350, 9351, 9352, 9353]","[7, 32]"
7,Nick Jonas,"[7, 1963, 9212, 9242]",[4]
8,Ariana Grande & The Weeknd,[8],[1844]
9,Maroon 5,"[11, 172, 250, 593, 773, 820, 1091, 1458, 1858, 1944, 1981, 3012, 3130, 3220, 4843, 4844, 4846, 4847, 4848, 4849, 4850, 4852, 6733, 8596, 8598, 9543, 9544, 9545, 9546, 9547, 9548, 9549, 9550, 9551]","[55, 80, 172, 420, 797]"
10,Big Sean Featuring E-40,[12],[]
11,Selena Gomez,"[13, 514, 649, 2445, 2697, 9215, 9216, 9217, 9218, 9219, 9220, 9221, 9222, 9223, 9224, 9225, 9226, 9227, 9936, 9937, 9938, 9939, 9940, 9941, 9942, 9943]","[8, 158, 185, 708]"
12,James Newton Howard Featuring Jennifer Lawrence,[14],[]
13,Fall Out Boy,"[15, 77, 483, 693, 829, 2589, 2704, 2804, 2812, 3166, 3203, 3341, 3533, 3721, 3746, 3801, 4740, 4741, 4749, 4750, 4751, 4752, 4753, 4754, 4755, 4756, 4757, 4758, 5266, 5270, 5277, 5279, 5281, 5282, 7312, 7320, 7490, 7492, 7494, 7495, 7509, 7512, 8977, 9014, 9228, 9229, 9230, 9231, 9232, 9233, 9234, 15254, 15255, 15256, 15257, 15258, 15259, 16954, 16955, 16956, 16957, 16958, 16959, 16960, 16961, 16962, 16963]","[9, 149, 677, 845, 1016, 1033]"
14,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",[16],[]
15,Sia,"[17, 30, 7568, 8458, 8460, 8461, 8463, 8465, 8466, 8467, 8468, 22030, 22031, 22032]","[13, 1649]"
16,Rae Sremmurd,"[18, 137, 283, 8995, 9235, 9245, 9395, 9396, 9397, 9398, 9399, 9400, 9401, 9402]","[10, 42]"
17,I LOVE MAKONNEN Featuring Drake,[19],[]
18,Beyonce,"[20, 337, 453, 562, 934, 1178, 1268, 1397, 1516, 1574, 2239, 2287, 2413, 2451, 2591, 2605, 2673, 2705, 3361, 3446, 3521, 4243, 4371, 4472, 8984, 8998]",[]
19,Mr. Probz,"[22, 8954]",[]
20,Usher Featuring Juicy J,[23],[]
21,Tove Lo,"[24, 8711, 9127, 9236, 22923, 22924, 22925, 22926, 22927, 22928, 22929, 22930, 22931, 22932, 22933, 22934]","[11, 1792]"
22,"Jessie J, Ariana Grande & Nicki Minaj",[25],[]
23,O.T. Genasis,[26],[]
24,Ella Henderson,[28],[]
25,Bobby Shmurda,"[29, 178, 8955, 9237, 9246, 9475, 9476, 9477]","[12, 57, 1824]"
26,Alesso Featuring Tove Lo,[31],[]
27,Calvin Harris Featuring John Newman,[32],[]
28,Vance Joy,"[33, 8963]",[]
29,OneRepublic,"[34, 215, 234, 806, 906, 1339, 1752, 2081, 2914, 11480, 11481, 11482, 11483, 11484, 11485, 11486, 11487, 11488, 11489, 11490, 11491, 14620, 14621, 14622, 14623, 14624, 14625, 14626, 14627, 14628, 14629, 14630]","[14, 386, 770]"
30,Pitbull & Ne-Yo,[35],[]
31,Jeremih Featuring YG,[36],[]
32,Iggy Azalea Featuring Rita Ora,[37],[]
33,MAGIC!,"[38, 9238, 9247]",[15]
34,One Direction,"[39, 69, 169, 175, 176, 181, 313, 331, 464, 503, 542, 547, 814, 825, 851, 903, 923, 994, 1056, 8040, 8867, 9080, 9083, 9084, 9086, 9087, 9088, 9089, 9096, 9097, 10478, 10479, 10480, 10481, 10482, 10483, 10484, 10485, 10498, 10499, 10579, 10580, 10581, 10582, 10676, 10677, 10678, 10679, 10680, 10681, 10682, 10683, 10684, 10685, 10686, 10687, 10688, 10689, 10690, 10691, 10692]","[53, 229, 234, 255, 271]"
35,Chris Brown & Tyga,[40],[]
36,Carrie Underwood,"[41, 639, 801, 945, 1086, 1770, 1956, 2129, 2249, 2562, 2647, 2737, 2879, 2987, 3026, 3138, 3151, 3177, 3326, 3348, 3666, 3785, 4014, 9239, 9248, 10199, 10200, 10201, 10202, 10203, 10204, 10205, 10206, 10207, 10208, 12146, 12147, 12148, 12149, 12150, 12151, 12152, 12153, 13963, 13964, 13965, 13966, 13967, 13968, 13969, 13970, 13971, 13972, 15174, 15175, 15176, 15177, 15178, 15179, 15180, 15181, 15182]","[16, 182, 481, 693, 838, 886]"
37,Iggy Azalea Featuring M0,[42],[]
38,Milky Chance,[43],[]
39,Fifth Harmony,"[44, 208, 586, 9240, 9249]","[17, 65]"
40,Ellie Goulding,"[45, 366, 412, 461, 866, 899, 7105, 7106, 7110, 7111, 7112, 7114, 7115, 7116, 7118, 8949, 9241, 9250, 9712, 9713, 9714, 9715, 9716, 9717, 10563, 10564, 10565, 10566, 10567, 10568, 10569, 10570, 10571, 10572, 10573, 10574, 10575, 10576, 10577, 10578]","[18, 116, 254]"
41,Clean Bandit Featuring Jess Glynne,[46],[]
42,DeJ Loaf,"[47, 9251, 9252]",[19]
43,Tim McGraw,"[48, 404, 529, 811, 982, 1114, 1688, 2154, 2230, 2434, 2598, 2740, 3095, 3163, 3334, 3488, 3668, 3849, 4002, 4068, 4119, 4203, 4475, 9253, 9254, 9255, 9256, 9257, 9258, 11048, 11049, 11050, 11051, 11052, 11053, 11054, 11055, 11056, 11057, 12033, 12034, 12035, 12036, 12037, 12038, 12039, 12040, 12041, 12042, 12043, 12044, 12045, 12046, 12047, 12048, 12049, 13060, 13061, 13062, 13063, 13064, 13065, 13066, 13067, 13068, 16210, 16211, 16212, 16213, 16214, 16215, 16216, 16217, 16218, 16219, 16220, 16698, 16699, 16700, 17305, 17306, 17307, 17308, 17309, 17310, 17311, 17312, 17313, 17314, 17315]","[20, 161, 308, 466, 586, 932, 985, 1052]"
44,Flo Rida Featuring Sage The Gemini & Lookas,[49],[]
45,Eric Church,"[50, 245, 352, 470, 531, 748, 914, 1065, 1254, 1484, 1767, 2101, 2393, 3305, 3680, 10355, 10356, 10357, 10358, 15590, 15591, 15592, 15593, 15594, 15595, 15596, 15597, 15598, 15599]","[215, 873]"
46,Luke Bryan,"[51, 158, 285, 421, 493, 662, 850, 913, 1054, 1210, 1444, 1701, 1993, 2267, 2787, 3199, 9425, 9426, 9427, 9428, 9429, 9430, 9431, 9432, 9433, 9434, 9435, 10597, 10598, 10599, 10600, 10601, 10602, 10603, 10604, 12061, 12062, 12063, 12064]","[48, 258, 469]"
47,Florida Georgia Line,"[52, 166, 209, 218, 226, 443, 585, 756, 876, 9023, 9181, 10024, 10025, 10026, 10027, 10028, 10029]","[72, 171]"
48,Lillywood & Robin Schulz,[53],[]
49,Kanye West Featuring Paul McCartney,[54],[]
50,Fergie,"[55, 3044, 3062, 3423, 3538]",[806]
51,Ne-Yo Featuring Juicy J,[56],[]
52,Brad Paisley,"[57, 253, 704, 873, 1271, 1669, 1790, 1982, 2192, 2337, 2480, 2764, 2904, 3047, 3164, 3277, 3466, 3640, 3970, 4154, 4466, 9259, 9260, 9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 10299, 10300, 10301, 10302, 10303, 10304, 10305, 10306, 10307, 10308, 10309, 10310, 10311, 10312, 10313, 11365, 11366, 11367, 11368, 11369, 11370, 11371, 14252, 14253, 14254, 14255, 14256, 14257, 14258, 14259, 14260, 16119, 16120, 16121, 16122, 16123, 16124, 16125, 16126, 16127, 16128, 16129, 16130, 16131, 16132, 16133, 16134, 16135, 18403, 18404, 18405, 18406, 18407, 18408, 18409, 18410, 18411, 18412, 18413, 18414, 18415, 18416]","[21, 81, 205, 357, 487, 727, 924, 1152]"
53,Trey Songz Featuring Nicki Minaj,"[58, 1750]",[]
54,Blake Shelton Featuring Ashley Monroe,[59],[]
55,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",[60],[]
56,Nicki Minaj Featuring Beyonce,[61],[]
57,Kenny Chesney,"[62, 190, 656, 762, 915, 1002, 1195, 1585, 1687, 1838, 2088, 2446, 2820, 2901, 3116, 3117, 3192, 3358, 3514, 3645, 3767, 3888, 4045, 4089, 4224, 4318, 4509, 9272, 9273, 9274, 9275, 9276, 9277, 9278, 9279, 9280, 10605, 10606, 10607, 10608, 10609, 10610, 11245, 11246, 11247, 11248, 11249, 12762, 12763, 12764, 12765, 12766, 12767, 14590, 14591, 14592, 14593, 14594, 14595, 15073, 15074, 15075, 15076, 15077, 15078, 15079, 15080, 15081, 15082, 15083, 15084, 15085, 15086, 15087, 15088, 15089, 15756, 15757, 15758, 15759, 15760, 15761, 18012, 18013, 18014, 18015, 18016, 18017, 18018, 18019]","[22, 60, 188, 259, 332, 550, 767, 825, 889, 1114]"
58,Prince Royce Featuring Snoop Dogg,[63],[]
59,Imagine Dragons,"[64, 318, 322, 387, 628, 798, 9026, 9078]","[103, 1833]"
60,The Weeknd,"[65, 82, 843, 6257, 6258, 6259, 6262, 6264, 6266, 6267, 6268, 6274, 6521, 6522, 6523, 6524, 6525, 6526, 6527, 6532, 6535, 7175, 7180, 7185, 7187, 7807, 7810, 7812, 7816, 7819, 8947, 10504, 10505, 10506, 10507, 20981, 20982, 20983, 20984]","[238, 1484, 1485, 1514, 1677]"
61,Thomas Rhett,"[66, 349, 561, 1063]",[111]
62,Lee Brice,"[67, 256, 568, 784, 960, 1139, 1950, 9281, 9282, 9283, 9284, 9285, 9286, 9287, 9288, 9289, 9290, 9291, 9292, 9293, 9294, 10011, 10012, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 12382]","[23, 83, 168, 515]"
63,Jason Aldean,"[68, 145, 224, 235, 241, 246, 403, 557, 777, 947, 1087, 1260, 1405, 1787, 1999, 2190, 2371, 2547, 3007, 3281, 3462, 3696, 3962, 9295, 9296, 9297, 9298, 9299, 9300, 9301, 9302, 9303, 9744, 9745, 9746, 9747, 9748, 9749, 9750, 9751, 9752, 9753, 10988, 10989, 10990, 10991, 10992, 10993, 10994, 10995, 10996, 12488, 12489, 12490, 12491, 12492, 12493, 12494, 14830, 14831, 14832, 14833, 14834, 14835, 14836, 14837, 14838, 14839, 16102, 16103, 16104, 16105, 16106, 16107, 16108, 16109]","[24, 45, 122, 300, 526, 796, 922]"
64,RaeLynn,[70],[]
65,WALK THE MOON,"[71, 183]",[]
66,Chris Young,"[73, 259, 541, 799, 1052, 1211, 1493, 1689, 2014, 2281, 9304, 9305, 9306, 9307, 9308, 9309, 9310, 9311, 10428, 10429, 10430, 12050, 12051, 12052, 12053, 12054, 12055, 12056, 13243, 13244, 13245, 13246, 13247, 13248, 13249, 13250, 13251, 13252, 13253, 13254, 13255, 13256, 13257, 13258]","[25, 224, 467, 602]"
67,Brett Eldredge,"[74, 319, 612, 9651, 9652, 9653, 9654, 9655, 9656, 9657, 9658, 9659]",[102]
68,Sam Hunt,"[75, 173, 9082, 9093, 9104, 9113, 23237, 23238, 23239, 23240]","[1834, 1835]"
69,Calvin Harris Featuring Ellie Goulding,"[76, 605]",[]
70,Randy Houser,"[78, 391, 626, 872, 2407, 2742]","[247, 634]"
71,J. Cole,"[79, 132, 141, 1204, 2093, 7669, 7673, 7674, 7675, 7676, 7677, 8884, 8885, 8886, 8887, 8888, 8889, 8890, 8891, 8892, 9067, 11278, 11279, 11280, 11281, 11282, 11283, 11284, 11285, 11286, 12778, 12779, 12780, 12781, 12782, 12783, 12784, 12785, 12786, 12787, 12788, 12789, 12790, 12791, 12792, 12793, 12794, 12795, 12796, 12797, 12798, 22088, 22089, 22090, 22091, 22092, 22093, 22094, 22095, 22096, 22097, 22098, 22099, 22100, 22101]","[26, 337, 552, 1661]"
72,Darius Rucker,"[80, 475, 694, 1346, 1612, 1836, 2199, 2412, 2572, 2763, 10291]","[202, 389, 577]"
73,David Guetta Featuring Sam Martin,[81],[]
74,Kid Ink Featuring Usher & Tinashe,[83],[]
75,Keith Urban,"[84, 341, 611, 1008, 1168, 1371, 1520, 1743, 1959, 2141, 2336, 2486, 2630, 2816, 3100, 3261, 3393, 3550, 3772, 3897, 4021, 4155, 4280, 4420, 9312, 9313, 9314, 9315, 9316, 9317, 9318, 9319, 9320, 9321, 9322, 9323, 9324, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 12872, 12873, 12874, 12875, 12876, 12877, 12878, 12879, 14367, 14368, 14369, 14370, 14371, 14372, 14373, 14374, 14375, 14376, 15442, 15443, 15444, 15445, 15446, 15447, 15448, 15449, 17065, 17066, 17067, 17068, 17069, 17070, 17071, 17072]","[27, 326, 563, 743, 859, 1024]"
76,Rae Sremmurd Featuring Nicki Minaj & Young Thug,[85],[]
77,Parmalee,"[86, 474]",[]
78,Sophia Grace,[87],[]
79,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,[88],[]
80,Cole Swindell,"[89, 191, 440, 9325, 9326, 9327, 9328, 9329, 9330, 9331, 9332, 9333]","[28, 136]"
81,I Prevail,[90],[29]
82,August Alsina,[91],[]
83,Chase Bryant,[92],[30]
84,Sheppard,[93],[]
85,Jake Owen,"[94, 275, 533, 697, 929, 1152, 1404, 2254, 2582, 3290, 3667, 9334, 9335, 9336, 9337, 9338, 9339, 9340, 9341, 9342, 10292, 10293, 10294, 10295, 10296, 10297, 10298, 13102, 13103, 13104, 13105, 13106, 13107, 13108, 13109, 13838, 13839, 13840, 13841, 13842, 13843, 13844, 13845]","[31, 204, 592, 674]"
86,B.o.B Featuring Trey Songz,[96],[]
87,Tyler Farr,"[97, 290, 595, 10030, 10031]","[33, 173]"
88,Omarion Featuring Chris Brown & Jhene Aiko,[98],[]
89,Blake Shelton,"[99, 377, 520, 774, 992, 1117, 1295, 1357, 1465, 1684, 1891, 2406, 2648, 2871, 3350, 3777, 4043, 4187, 9182, 9354, 9355, 9356, 9357, 9358, 9359, 9360, 9361, 9362, 9363, 9364, 9720, 9721, 9722, 9723, 9724, 9725, 9726, 9727, 9728, 9729, 9730, 11058, 11059, 11060, 11061, 11062, 11063, 11064, 12026, 12027, 12028, 12029, 12030, 12031, 12032, 15737, 15738, 15739, 15740, 15741, 15742, 15743, 15744, 17082, 17083, 17084, 17085, 17086, 17087, 17088, 17089]","[34, 118, 309, 465, 887, 1026]"
90,Hoodie Allen Featuring Ed Sheeran,[100],[]
91,Jason Derulo,"[101, 476, 651, 1120, 1289, 1416, 1457, 1844, 1910, 2002, 2188, 9008, 9012, 9148, 9891, 9892, 9893, 9894, 9895, 9896, 9897, 9898]","[145, 310]"
92,Nicki Minaj,"[102, 236, 861, 956, 1022, 1234, 1273, 1321, 1569, 1759, 1899, 5961, 6647, 6648, 6653, 6654, 6655, 8910, 8911, 8912, 8913, 8915, 8916, 8918, 8919, 8923, 8929, 8930, 8931, 8934, 8943, 9062, 9069, 9531, 9532, 9533, 12323, 12324, 12325, 12326, 12327, 12328, 12329, 12330]","[35, 75, 508]"
93,Rich Gang Featuring Young Thug & Rich Homie Quan,[103],[]
94,Colbie Caillat,"[104, 1252, 1513, 1587, 1994, 2247, 2470, 2882, 2894, 2984, 3008, 3160, 12475, 12476, 12477, 12478, 12479, 12480, 12481, 12482, 12483, 12484, 12485, 12486, 12487, 13646, 13647, 13648, 13649, 13650, 13651, 13652, 13653, 13654, 13655, 13656, 13657, 13658, 14568, 14569, 14570, 14571, 14572, 14573, 14574, 14575, 14576, 14577]","[352, 525, 649, 765, 835]"
95,Shawn Mendes,"[105, 304]",[]
96,Nico & Vinz,"[106, 171]","[36, 54]"
97,Nicki Minaj Featuring Skylar Grey,[107],[]
98,Lorde,"[108, 287, 325, 379, 433, 7726, 7727, 7736, 7852, 7854, 7855, 7856, 7858, 7860, 7861, 8698, 8866, 9365, 9366, 9367, 9368, 9369, 9370, 9371, 9372, 9373, 9374, 9375, 22171]","[37, 96, 1671]"
99,G-Eazy Featuring Remo,[109],[]
100,Ariana Grande,"[110, 549, 635, 8295, 8459, 8479, 8573, 8575, 8579, 8580, 8587, 8588, 8589, 8591, 8593, 8597, 8599, 9051, 9092, 9161, 10192, 10193, 10194, 10195, 10196, 10197, 10198, 22669, 22670, 22671, 22672, 22673, 22674, 22675]","[181, 1756, 1760, 1773]"
101,Pentatonix,"[111, 513, 9035, 9055, 9065, 9066, 9929, 9930, 9931, 9932, 9933, 9934, 9935, 23226, 23227, 23228, 23229, 23230, 23231, 23232]","[157, 1830]"
102,Jessie J,"[112, 1144, 8524, 9124, 9376, 9377, 9378, 9379, 9380, 9381, 9382, 9383, 11171, 11172, 11173, 11174, 11175, 11176, 11177, 11178, 11179, 11180, 11181, 11182, 11183, 11184]","[38, 317]"
103,Jessie J Featuring 2 Chainz,[114],[]
104,Charli XCX,"[115, 161, 8914, 8920, 8921, 8922, 8924, 8925, 8926, 8927, 8932, 8933, 8935, 9384, 9385]","[39, 49]"
105,French Montana Featuring Jeremih,[116],[]
106,Becky G,"[117, 203]","[40, 63]"
107,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",[118],[]
108,Matt McAndrew,"[120, 138, 143, 168]",[]
109,Craig Wayne Boyd,"[121, 136, 155]",[]
