"id";"date_lastfm";"position_lastfm";"no_of_listeners_lastfm";"track_id"
"1";"2006-09-17 00:00:00";"1";"4220";"4574"
"2";"2006-09-17 00:00:00";"2";"3641";"3561"
"3";"2006-09-17 00:00:00";"3";"3588";"4575"
"4";"2006-09-17 00:00:00";"4";"3413";"3875"
"5";"2006-09-17 00:00:00";"5";"3306";"3424"
"6";"2006-09-17 00:00:00";"6";"2955";"3566"
"7";"2006-09-17 00:00:00";"7";"2832";"4576"
"8";"2006-09-17 00:00:00";"8";"2778";"4577"
"9";"2006-09-17 00:00:00";"9";"2682";"3354"
"10";"2006-09-17 00:00:00";"10";"2678";"4578"
"11";"2006-09-17 00:00:00";"11";"2627";"4579"
"12";"2006-09-17 00:00:00";"12";"2593";"4580"
"13";"2006-09-17 00:00:00";"13";"2585";"4581"
"14";"2006-09-17 00:00:00";"14";"2530";"4582"
"15";"2006-09-17 00:00:00";"15";"2525";"4583"
"16";"2006-09-17 00:00:00";"16";"2487";"4584"
"17";"2006-09-17 00:00:00";"17";"2477";"4585"
"18";"2006-09-17 00:00:00";"18";"2471";"4586"
"19";"2006-09-17 00:00:00";"19";"2422";"4587"
"20";"2006-09-17 00:00:00";"20";"2374";"4588"
"21";"2006-09-17 00:00:00";"21";"2365";"4589"
"22";"2006-09-17 00:00:00";"22";"2355";"4332"
"23";"2006-09-17 00:00:00";"23";"2349";"4590"
"24";"2006-09-17 00:00:00";"24";"2328";"4591"
"25";"2006-09-17 00:00:00";"25";"2319";"4592"
"26";"2006-09-17 00:00:00";"26";"2303";"4593"
"27";"2006-09-17 00:00:00";"27";"2268";"4594"
"28";"2006-09-17 00:00:00";"28";"2265";"3443"
"29";"2006-09-17 00:00:00";"29";"2258";"3612"
"30";"2006-09-17 00:00:00";"30";"2237";"4595"
"31";"2006-09-17 00:00:00";"31";"2232";"4201"
"32";"2006-09-17 00:00:00";"32";"2226";"4596"
"33";"2006-09-17 00:00:00";"33";"2215";"3591"
"34";"2006-09-17 00:00:00";"34";"2202";"3401"
"35";"2006-09-17 00:00:00";"35";"2197";"4597"
"36";"2006-09-17 00:00:00";"36";"2195";"4598"
"37";"2006-09-17 00:00:00";"37";"2137";"4599"
"38";"2006-09-17 00:00:00";"38";"2133";"4600"
"39";"2006-09-17 00:00:00";"39";"2120";"4601"
"40";"2006-09-17 00:00:00";"40";"2118";"3627"
"41";"2006-09-17 00:00:00";"41";"2109";"4602"
"42";"2006-09-17 00:00:00";"42";"2108";"4603"
"43";"2006-09-17 00:00:00";"43";"2102";"4604"
"44";"2006-09-17 00:00:00";"44";"2048";"3506"
"45";"2006-09-17 00:00:00";"45";"2003";"4605"
"46";"2006-09-17 00:00:00";"46";"2000";"3910"
"47";"2006-09-17 00:00:00";"47";"1984";"4252"
"48";"2006-09-17 00:00:00";"48";"1973";"4606"
"49";"2006-09-17 00:00:00";"49";"1966";"4607"
"50";"2006-09-17 00:00:00";"50";"1954";"4608"
"51";"2006-09-17 00:00:00";"51";"1942";"4609"
"52";"2006-09-17 00:00:00";"52";"1942";"3555"
"53";"2006-09-17 00:00:00";"53";"1938";"4610"
"54";"2006-09-17 00:00:00";"54";"1938";"3968"
"55";"2006-09-17 00:00:00";"55";"1920";"4611"
"56";"2006-09-17 00:00:00";"56";"1913";"4612"
"57";"2006-09-17 00:00:00";"57";"1909";"4613"
"58";"2006-09-17 00:00:00";"58";"1891";"4614"
"59";"2006-09-17 00:00:00";"59";"1866";"4615"
"60";"2006-09-17 00:00:00";"60";"1853";"4616"
"61";"2006-09-17 00:00:00";"61";"1833";"4617"
"62";"2006-09-17 00:00:00";"62";"1814";"3495"
"63";"2006-09-17 00:00:00";"63";"1808";"3377"
"64";"2006-09-17 00:00:00";"64";"1805";"4618"
"65";"2006-09-17 00:00:00";"65";"1799";"4619"
"66";"2006-09-17 00:00:00";"66";"1789";"4620"
"67";"2006-09-17 00:00:00";"67";"1756";"3947"
"68";"2006-09-17 00:00:00";"68";"1747";"4442"
"69";"2006-09-17 00:00:00";"69";"1742";"4621"
"70";"2006-09-17 00:00:00";"70";"1741";"4622"
"71";"2006-09-17 00:00:00";"71";"1740";"4623"
"72";"2006-09-17 00:00:00";"72";"1739";"4624"
"73";"2006-09-17 00:00:00";"73";"1735";"4625"
"74";"2006-09-17 00:00:00";"74";"1733";"4626"
"75";"2006-09-17 00:00:00";"75";"1729";"4308"
"76";"2006-09-17 00:00:00";"76";"1729";"4627"
"77";"2006-09-17 00:00:00";"77";"1724";"4628"
"78";"2006-09-17 00:00:00";"78";"1717";"4629"
"79";"2006-09-17 00:00:00";"79";"1699";"4630"
"80";"2006-09-17 00:00:00";"80";"1690";"4631"
"81";"2006-09-17 00:00:00";"81";"1689";"4632"
"82";"2006-09-17 00:00:00";"82";"1675";"4633"
"83";"2006-09-17 00:00:00";"83";"1672";"4634"
"84";"2006-09-17 00:00:00";"84";"1672";"4635"
"85";"2006-09-17 00:00:00";"85";"1669";"4636"
"86";"2006-09-17 00:00:00";"86";"1665";"4637"
"87";"2006-09-17 00:00:00";"87";"1653";"4638"
"88";"2006-09-17 00:00:00";"88";"1649";"4639"
"89";"2006-09-17 00:00:00";"89";"1641";"4640"
"90";"2006-09-17 00:00:00";"90";"1637";"4641"
"91";"2006-09-17 00:00:00";"91";"1635";"4642"
"92";"2006-09-17 00:00:00";"92";"1633";"4643"
"93";"2006-09-17 00:00:00";"93";"1631";"4644"
"94";"2006-09-17 00:00:00";"94";"1626";"4645"
"95";"2006-09-17 00:00:00";"95";"1625";"4646"
"96";"2006-09-17 00:00:00";"96";"1622";"4647"
"97";"2006-09-17 00:00:00";"97";"1621";"4648"
"98";"2006-09-17 00:00:00";"98";"1614";"4649"
"99";"2006-09-17 00:00:00";"99";"1611";"4650"
"100";"2006-09-17 00:00:00";"100";"1609";"4651"
"101";"2006-09-24 00:00:00";"1";"4354";"4574"
"102";"2006-09-24 00:00:00";"2";"3534";"4575"
"103";"2006-09-24 00:00:00";"3";"3508";"3424"
"104";"2006-09-24 00:00:00";"4";"3333";"3561"
"105";"2006-09-24 00:00:00";"5";"3320";"3875"
"106";"2006-09-24 00:00:00";"6";"3059";"3354"
"107";"2006-09-24 00:00:00";"7";"2886";"4576"
"108";"2006-09-24 00:00:00";"8";"2752";"3566"
"109";"2006-09-24 00:00:00";"9";"2705";"4578"
"110";"2006-09-24 00:00:00";"10";"2693";"4577"
"111";"2006-09-24 00:00:00";"11";"2680";"4581"
"112";"2006-09-24 00:00:00";"12";"2588";"4579"
"113";"2006-09-24 00:00:00";"13";"2547";"4580"
"114";"2006-09-24 00:00:00";"14";"2528";"4582"
"115";"2006-09-24 00:00:00";"15";"2518";"4583"
"116";"2006-09-24 00:00:00";"16";"2498";"4589"
"117";"2006-09-24 00:00:00";"17";"2432";"4591"
"118";"2006-09-24 00:00:00";"18";"2409";"4584"
"119";"2006-09-24 00:00:00";"19";"2393";"4588"
"120";"2006-09-24 00:00:00";"20";"2372";"4599"
"121";"2006-09-24 00:00:00";"21";"2365";"4585"
"122";"2006-09-24 00:00:00";"22";"2348";"4587"
"123";"2006-09-24 00:00:00";"23";"2320";"4592"
"124";"2006-09-24 00:00:00";"24";"2315";"4586"
"125";"2006-09-24 00:00:00";"25";"2306";"4201"
"126";"2006-09-24 00:00:00";"26";"2297";"4594"
"127";"2006-09-24 00:00:00";"27";"2260";"4595"
"128";"2006-09-24 00:00:00";"28";"2233";"4332"
"129";"2006-09-24 00:00:00";"29";"2231";"4593"
"130";"2006-09-24 00:00:00";"30";"2228";"4590"
"131";"2006-09-24 00:00:00";"31";"2200";"3612"
"132";"2006-09-24 00:00:00";"32";"2170";"4597"
"133";"2006-09-24 00:00:00";"33";"2132";"4600"
"134";"2006-09-24 00:00:00";"34";"2114";"4598"
"135";"2006-09-24 00:00:00";"35";"2102";"4604"
"136";"2006-09-24 00:00:00";"36";"2100";"4596"
"137";"2006-09-24 00:00:00";"37";"2093";"4605"
"138";"2006-09-24 00:00:00";"38";"2076";"3401"
"139";"2006-09-24 00:00:00";"39";"2066";"4602"
"140";"2006-09-24 00:00:00";"40";"2060";"4609"
"141";"2006-09-24 00:00:00";"41";"2057";"4603"
"142";"2006-09-24 00:00:00";"42";"2053";"3627"
"143";"2006-09-24 00:00:00";"43";"2053";"3443"
"144";"2006-09-24 00:00:00";"44";"2032";"4601"
"145";"2006-09-24 00:00:00";"45";"2027";"3591"
"146";"2006-09-24 00:00:00";"46";"2011";"4606"
"147";"2006-09-24 00:00:00";"47";"2010";"4252"
"148";"2006-09-24 00:00:00";"48";"1983";"3910"
"149";"2006-09-24 00:00:00";"49";"1952";"4612"
"150";"2006-09-24 00:00:00";"50";"1951";"4610"
"151";"2006-09-24 00:00:00";"51";"1940";"3555"
"152";"2006-09-24 00:00:00";"52";"1939";"3968"
"153";"2006-09-24 00:00:00";"53";"1921";"4608"
"154";"2006-09-24 00:00:00";"54";"1914";"4607"
"155";"2006-09-24 00:00:00";"55";"1909";"3506"
"156";"2006-09-24 00:00:00";"56";"1897";"4611"
"157";"2006-09-24 00:00:00";"57";"1857";"4623"
"158";"2006-09-24 00:00:00";"58";"1839";"4617"
"159";"2006-09-24 00:00:00";"59";"1823";"3947"
"160";"2006-09-24 00:00:00";"60";"1807";"4614"
"161";"2006-09-24 00:00:00";"61";"1804";"4616"
"162";"2006-09-24 00:00:00";"62";"1803";"4308"
"163";"2006-09-24 00:00:00";"63";"1802";"4613"
"164";"2006-09-24 00:00:00";"64";"1793";"4622"
"165";"2006-09-24 00:00:00";"65";"1776";"4629"
"166";"2006-09-24 00:00:00";"66";"1755";"4636"
"167";"2006-09-24 00:00:00";"67";"1752";"4627"
"168";"2006-09-24 00:00:00";"68";"1752";"3495"
"169";"2006-09-24 00:00:00";"69";"1743";"4619"
"170";"2006-09-24 00:00:00";"70";"1706";"4620"
"171";"2006-09-24 00:00:00";"71";"1702";"4621"
"172";"2006-09-24 00:00:00";"72";"1702";"4626"
"173";"2006-09-24 00:00:00";"73";"1702";"4635"
"174";"2006-09-24 00:00:00";"74";"1673";"3527"
"175";"2006-09-24 00:00:00";"75";"1672";"4632"
"176";"2006-09-24 00:00:00";"76";"1668";"4628"
"177";"2006-09-24 00:00:00";"77";"1653";"4652"
"178";"2006-09-24 00:00:00";"78";"1652";"4640"
"179";"2006-09-24 00:00:00";"79";"1645";"4653"
"180";"2006-09-24 00:00:00";"80";"1645";"3377"
"181";"2006-09-24 00:00:00";"81";"1641";"4642"
"182";"2006-09-24 00:00:00";"82";"1639";"4633"
"183";"2006-09-24 00:00:00";"83";"1639";"4618"
"184";"2006-09-24 00:00:00";"84";"1638";"4637"
"185";"2006-09-24 00:00:00";"85";"1634";"4624"
"186";"2006-09-24 00:00:00";"86";"1628";"4639"
"187";"2006-09-24 00:00:00";"87";"1624";"4649"
"188";"2006-09-24 00:00:00";"88";"1624";"4442"
"189";"2006-09-24 00:00:00";"89";"1620";"4650"
"190";"2006-09-24 00:00:00";"90";"1615";"4615"
"191";"2006-09-24 00:00:00";"91";"1609";"4643"
"192";"2006-09-24 00:00:00";"92";"1603";"4630"
"193";"2006-09-24 00:00:00";"93";"1596";"4654"
"194";"2006-09-24 00:00:00";"94";"1586";"4009"
"195";"2006-09-24 00:00:00";"95";"1586";"4646"
"196";"2006-09-24 00:00:00";"96";"1585";"3746"
"197";"2006-09-24 00:00:00";"97";"1585";"4655"
"198";"2006-09-24 00:00:00";"98";"1579";"4634"
"199";"2006-09-24 00:00:00";"99";"1577";"4656"
"200";"2006-09-24 00:00:00";"100";"1574";"4641"
"201";"2006-10-01 00:00:00";"1";"4180";"4574"
"202";"2006-10-01 00:00:00";"2";"3670";"3527"
"203";"2006-10-01 00:00:00";"3";"3643";"3424"
"204";"2006-10-01 00:00:00";"4";"3565";"4575"
"205";"2006-10-01 00:00:00";"5";"3296";"3875"
"206";"2006-10-01 00:00:00";"6";"3209";"3354"
"207";"2006-10-01 00:00:00";"7";"3101";"3561"
"208";"2006-10-01 00:00:00";"8";"2751";"4576"
