"track_id";"echonest";"lastfm";"spotify";"sevendigital";"vevo";"apple"
"1";;;"4rmPQGwcLQjCoFq5NrTA0D";;;
"2";"SOMJFJX1498972D17F";"c3fe7791-0a91-4f0a-a89b-b056f38d3cde";;"40659515";"USCJY1431509";"907242703"
"3";;"7b0c57e7-b531-49ae-86c1-b53d65655899";"7dS5EaCoMnN7DzlpT6aRn2";;"IEVCJ1400099";"900672609"
"4";;"cb2cc207-8125-445c-9ef9-6ea44eee959a";"34gCuhDGsG4bRPIf9bb02f";"37606781";;"858517200"
"5";"SOBBEFI14890BA5FEF";"a42033c4-4720-4775-96c6-8f020d3adc2d";"0fioLzGM8ngbD1w6fMmm45";"36551607";"GBUV71400809";"826860761"
"6";"SOUYRZF14923F45D67";"09751c2a-07b2-47d0-9ef8-93417f35c4e6";"357p2KRTBXeGGw6YfUI1nH";"40506927";"USSM21401847";"929825624"
"7";;"faddb512-e668-4a22-9491-31db786341e0";"3JiockjOTd8m2VGcTGkmew";;"USUV71402717";"923464920"
"8";;"147eb8fd-6b93-40ee-8640-aed5ec9b71b2";"0e5q6Z47J4oU5S0gvfjKpi";;;"894102379"
"9";;"2df6ebbc-6929-4ed3-9c0b-f4c97ad22f49";;"40659519";"USCJY1431460";"907242707"
"10";"SOGFIDD14815B77441";"46a5d5a4-8c8b-4d6f-83f7-59bdda069c77";"1q676iYDR3GeJtOHdyggIU";"37707220";"USSM21400908";"929825615"
"11";;"2d9bf4ac-abde-4656-9810-f44582a3e0ec";"0ePNlUmwg2IN5JRPlLplF4";;"USUV71401601";"900751542"
"12";;;"7p54iuWHqvdeN224OglZ9t";;;
"13";;"e18f9b3c-a5b7-4d16-8a3a-eaa47ded0c57";"2jcPoPin36hyNRSi4ZsqeB";;;"937052900"
"14";;;"5ONu4EF5vxDOCmBbQI6s0M";;;
"15";"SOYHIVR14B101DCA13";"a210a0dc-1e81-4a62-9d89-f80c43aa0de5";"3r0NMcEl7lxAHkSlDk8b7U";"39302972";;"948754235"
"16";;;"3cEherqjQBKpbK9Lsujaw7";;"USCMV1400065";
"17";;;"6kwAbEjseqBob48jCus7Sz";"37876077";"TIVEV1581593";"882945393"
"18";"SOZYMYI1487180EE4C";"d1417aee-a8aa-40c4-bafe-06fb0461f722";"3BWxYPiMoUfNsPtSzRuXfw";"39701634";"USUV71402043";"948398183"
"19";;;"0VUciMnzRE044CMn8FYeCY";;;
"21";;"40adfe8f-02d9-45a0-a0f1-52cc2c0c0250";"5Db9VIdDsN5yu3Eu7CT0i4";"36551605";"GBUV71400077";"826860759"
