album_id,name,lastfm_playcount,lastfm_listeners,lastfm,artist_id
1,1989,5153810,56798,eb1acde0-35b3-4acc-bd36-b5a7037b7f38,2
2,x,1128578,25634,02f37f64-13f1-44ca-bf64-ef498693c89c,4
3,In the Lonely Hour,1314365,71085,221b18a8-b409-4e24-8280-0cdff63a9aba,5
4,Jealous,0,1,180c6a4f-a411-4ccc-9452-e455aaf241ea,7
6,Shake It Off,520856,107117,2c2f4f6a-a8be-476d-8978-8c0ec5c11e77,2
7,All About That Bass,1120982,198065,614c4513-4ac2-4bff-be50-1a35b57ac4c6,6
8,For You,884742,76258,4bae8c82-48e7-40e2-ad58-040921b56c5d,11
9,American Beauty / American Psycho,471062,9903,4d9cd7d9-9052-4abb-946c-5491d836d08d,13
10,No Type,132447,33039,2cfdc7bc-aa52-4592-8601-563189d266d8,16
11,Truth Serum,1498939,183685,a3584b83-aac2-43ae-a706-4d2f712e236a,21
12,Hot Boy,16445,4805,6014665f-4ce5-41ae-ae3d-e625bdc18f0c,25
13,1000 Forms of Fear,0,0,0b0c0ce5-2266-43dd-b6bb-b2b4b39be70f,15
14,Native,0,0,68c743b9-031f-4784-bc19-35575d3d3cab,29
15,Rude,685258,135263,b6983ed4-fdc3-48e1-ae61-a5e94a6fd799,33
16,Something In the Water,60787,19077,2f535afb-7588-475c-b8fb-07294acccaa2,36
17,Sledgehammer,0,1,ff15d5f2-13a9-4f05-8d45-a171e445a411,39
18,Love Me Like You Do,577865,98653,c6558d82-036b-40e2-a6e1-a47e1d2d5574,40
19,Try Me,43250,15204,692828bd-a266-4181-a2ca-eaf405f0bae9,42
20,Let It Go,266442,48886,1b95ef05-1893-4c87-96a5-11a4ce4afbf4,43
21,Moonshine In The Trunk,93825,11694,2108ed4d-a46a-40b1-bf4e-00fe3e1396b6,52
22,The Big Revival,88627,13984,9767a085-f441-4ac0-8d0a-8f21b746e11c,57
23,I Don't Dance,10247,1284,bc36748f-0d71-4868-bad4-14d7e8590d41,62
