track_id,date,position_lastfm,no_of_listeners_lastfm,position_spotify,no_of_listeners_spotify,position_billboard
1,2014-11-29,,,,,65.0
1,2014-12-06,,,,,18.0
1,2014-12-13,,,,,8.0
1,2014-12-20,,,,,5.0
1,2014-12-27,,,,,3.0
1,2015-01-03,,,,,3.0
1,2015-01-10,,,,,2.0
1,2015-01-17,,,,,1.0
1,2015-01-24,,,,,1.0
2,2014-11-02,7.0,4280.0,,,
2,2014-11-09,5.0,3805.0,,,
2,2014-11-15,,,,,18.0
2,2014-11-16,1.0,4656.0,,,
2,2014-11-22,,,,,13.0
2,2014-11-23,3.0,3986.0,,,
2,2014-11-29,,,,,1.0
2,2014-11-30,2.0,3336.0,,,
2,2014-12-06,,,,,1.0
2,2014-12-07,2.0,3294.0,,,
2,2014-12-13,,,,,1.0
2,2014-12-14,2.0,3270.0,,,
2,2014-12-20,,,,,1.0
2,2014-12-21,18.0,3015.0,,,
2,2014-12-27,,,,,1.0
2,2014-12-28,8.0,2889.0,,,
2,2015-01-03,,,,,1.0
2,2015-01-10,,,,,1.0
2,2015-01-17,,,,,2.0
2,2015-01-24,,,,,2.0
3,2014-08-10,99.0,1406.0,,,
3,2014-08-24,78.0,1585.0,,,
3,2014-08-30,,,,,96.0
3,2014-08-31,70.0,1704.0,,,
3,2014-09-06,,,,,87.0
3,2014-09-07,50.0,1682.0,,,
3,2014-09-13,,,,,84.0
3,2014-09-14,84.0,1775.0,,,
3,2014-09-20,,,,,75.0
3,2014-09-21,41.0,1852.0,,,
3,2014-09-27,,,,,69.0
3,2014-09-28,64.0,1858.0,,,
3,2014-10-04,,,,,70.0
3,2014-10-05,70.0,1872.0,,,
3,2014-10-11,,,,,64.0
3,2014-10-12,44.0,2576.0,35.0,1126531.0,
3,2014-10-18,,,,,62.0
3,2014-10-19,15.0,2765.0,23.0,1370227.0,
3,2014-10-25,,,,,49.0
3,2014-10-26,3.0,3329.0,9.0,1932283.0,
3,2014-11-01,,,,,33.0
3,2014-11-02,23.0,3134.0,5.0,2188326.0,
3,2014-11-08,,,,,9.0
3,2014-11-09,9.0,3352.0,1.0,2661027.0,
3,2014-11-15,,,,,10.0
3,2014-11-16,8.0,3396.0,1.0,2972893.0,
3,2014-11-22,,,,,8.0
3,2014-11-23,5.0,3515.0,1.0,3253579.0,
3,2014-11-29,,,,,6.0
3,2014-11-30,1.0,3403.0,1.0,3263508.0,
3,2014-12-06,,,,,3.0
3,2014-12-07,1.0,4253.0,1.0,3890729.0,
3,2014-12-13,,,,,3.0
3,2014-12-14,1.0,4360.0,1.0,4371969.0,
3,2014-12-20,,,,,2.0
3,2014-12-21,11.0,4246.0,1.0,4311948.0,
3,2014-12-27,,,,,2.0
3,2014-12-28,2.0,3416.0,1.0,3611243.0,
3,2015-01-03,,,,,2.0
3,2015-01-04,,,2.0,3634994.0,
3,2015-01-10,,,,,3.0
3,2015-01-11,,,2.0,3871723.0,
3,2015-01-17,,,,,3.0
3,2015-01-18,,,3.0,3840814.0,
3,2015-01-24,,,,,3.0
4,2014-10-25,,,,,69.0
4,2014-10-26,,,45.0,978660.0,
4,2014-11-01,,,,,79.0
4,2014-11-02,,,44.0,990165.0,
4,2014-11-08,,,,,75.0
4,2014-11-09,,,30.0,1179066.0,
4,2014-11-15,,,,,84.0
4,2014-11-16,,,19.0,1547301.0,
4,2014-11-22,,,,,68.0
4,2014-11-23,,,11.0,1809047.0,
4,2014-11-29,,,,,62.0
4,2014-11-30,52.0,1519.0,9.0,1986566.0,
4,2014-12-06,,,,,40.0
4,2014-12-07,30.0,1802.0,4.0,2429735.0,
4,2014-12-13,,,,,39.0
4,2014-12-14,33.0,1950.0,2.0,3063385.0,
4,2014-12-20,,,,,24.0
4,2014-12-21,61.0,1983.0,2.0,3296202.0,
4,2014-12-27,,,,,6.0
4,2014-12-28,49.0,1680.0,3.0,2857095.0,
4,2015-01-03,,,,,4.0
4,2015-01-04,,,3.0,3118147.0,
4,2015-01-10,,,,,7.0
4,2015-01-11,,,3.0,3640696.0,
4,2015-01-17,,,,,4.0
4,2015-01-18,,,2.0,3881860.0,
4,2015-01-24,,,,,4.0
5,2014-06-21,,,,,69.0
5,2014-09-27,,,,,93.0
5,2014-09-28,,,30.0,1221701.0,
5,2014-10-04,,,,,84.0
5,2014-10-05,,,25.0,1375025.0,
5,2014-10-11,,,,,63.0
5,2014-10-12,59.0,2176.0,11.0,1823989.0,
5,2014-10-18,,,,,52.0
5,2014-10-19,53.0,1904.0,8.0,1998918.0,
5,2014-10-25,,,,,25.0
5,2014-10-26,43.0,1971.0,4.0,2251087.0,
5,2014-11-01,,,,,20.0
5,2014-11-02,53.0,1785.0,3.0,2295143.0,
5,2014-11-08,,,,,16.0
5,2014-11-09,51.0,1829.0,3.0,2282810.0,
5,2014-11-15,,,,,12.0
5,2014-11-16,73.0,1841.0,3.0,2252518.0,
5,2014-11-22,,,,,11.0
5,2014-11-23,50.0,1891.0,3.0,2240754.0,
5,2014-11-29,,,,,9.0
5,2014-11-30,22.0,1878.0,3.0,2330347.0,
5,2014-12-06,,,,,7.0
5,2014-12-07,17.0,2121.0,3.0,2537574.0,
5,2014-12-13,,,,,7.0
5,2014-12-14,26.0,2075.0,5.0,2529514.0,
5,2014-12-20,,,,,7.0
5,2014-12-21,57.0,2026.0,4.0,2482984.0,
5,2014-12-27,,,,,5.0
5,2014-12-28,54.0,1631.0,4.0,2144393.0,
5,2015-01-03,,,,,6.0
5,2015-01-04,,,4.0,2560458.0,
5,2015-01-10,,,,,6.0
5,2015-01-11,,,4.0,3004299.0,
5,2015-01-17,,,,,8.0
5,2015-01-18,,,4.0,3090497.0,
5,2015-01-24,,,,,5.0
6,2014-10-26,,,170.0,381711.0,
6,2014-11-02,,,97.0,536466.0,
6,2014-11-08,,,,,93.0
6,2014-11-09,,,56.0,805523.0,
6,2014-11-15,,,,,70.0
6,2014-11-16,,,36.0,1094591.0,
6,2014-11-22,,,,,50.0
6,2014-11-23,,,28.0,1293894.0,
6,2014-11-29,,,,,38.0
6,2014-11-30,,,18.0,1520529.0,
6,2014-12-06,,,,,19.0
6,2014-12-07,,,12.0,1925772.0,
6,2014-12-13,,,,,13.0
6,2014-12-14,,,10.0,2179392.0,
6,2014-12-20,,,,,8.0
6,2014-12-21,,,8.0,2222219.0,
6,2014-12-27,,,,,4.0
6,2014-12-28,,,7.0,2010626.0,
6,2015-01-03,,,,,5.0
6,2015-01-04,,,6.0,2148866.0,
6,2015-01-10,,,,,4.0
6,2015-01-11,,,7.0,2191049.0,
6,2015-01-17,,,,,5.0
6,2015-01-18,,,6.0,2356292.0,
6,2015-01-24,,,,,6.0
7,2014-09-27,,,,,78.0
7,2014-10-04,,,,,80.0
7,2014-10-11,,,,,58.0
7,2014-10-18,,,,,40.0
7,2014-10-19,,,30.0,1241189.0,
7,2014-10-25,,,,,28.0
7,2014-10-26,,,19.0,1535123.0,
7,2014-11-01,,,,,30.0
7,2014-11-02,,,14.0,1618622.0,
7,2014-11-08,,,,,27.0
7,2014-11-09,,,13.0,1708910.0,
7,2014-11-15,,,,,28.0
7,2014-11-16,80.0,1768.0,6.0,2043809.0,
7,2014-11-22,,,,,23.0
7,2014-11-23,80.0,1574.0,6.0,2183431.0,
7,2014-11-29,,,,,10.0
7,2014-11-30,60.0,1418.0,7.0,2118150.0,
7,2014-12-06,,,,,8.0
7,2014-12-07,49.0,1605.0,8.0,2377090.0,
7,2014-12-13,,,,,11.0
7,2014-12-14,62.0,1629.0,7.0,2318769.0,
7,2014-12-20,,,,,9.0
7,2014-12-21,,,7.0,2222444.0,
7,2014-12-27,,,,,11.0
7,2014-12-28,,,9.0,1880372.0,
7,2015-01-03,,,,,8.0
7,2015-01-04,,,8.0,2072311.0,
7,2015-01-10,,,,,10.0
7,2015-01-11,,,9.0,1995209.0,
7,2015-01-17,,,,,9.0
7,2015-01-18,,,14.0,1838339.0,
7,2015-01-24,,,,,7.0
8,2014-10-25,,,,,79.0
8,2014-11-01,,,,,57.0
8,2014-11-08,,,,,37.0
8,2014-11-15,,,,,24.0
8,2014-11-22,,,,,7.0
8,2014-11-29,,,,,13.0
8,2014-12-06,,,,,9.0
8,2014-12-13,,,,,10.0
8,2014-12-20,,,,,10.0
8,2014-12-27,,,,,9.0
8,2015-01-03,,,,,7.0
8,2015-01-10,,,,,11.0
8,2015-01-17,,,,,11.0
8,2015-01-24,,,,,8.0
9,2014-08-24,30.0,2307.0,,,
9,2014-08-31,63.0,1790.0,,,
9,2014-09-06,,,,,1.0
9,2014-09-07,73.0,1493.0,,,
9,2014-09-13,,,,,1.0
9,2014-09-20,,,,,2.0
9,2014-09-21,4.0,2893.0,23.0,1399131.0,
9,2014-09-27,,,,,2.0
9,2014-09-28,14.0,4655.0,1.0,3946917.0,
9,2014-10-04,,,,,2.0
9,2014-10-05,2.0,4231.0,1.0,3667088.0,
9,2014-10-11,,,,,2.0
