track_id,name,release_date,lastfm_playcount,lastfm_listeners,album_id,artist_id
1,Uptown Funk!,2014-11-10 00:00:00,0,0,4.0,1
2,Blank Space,2014-10-27 00:00:00,1822265,92902,1.0,2
3,Take Me To Church,2014-05-20 00:00:00,0,0,1827.0,3
4,Thinking Out Loud,2014-06-21 00:00:00,1654222,233802,2.0,4
5,I'm Not The Only One,2014-07-15 00:00:00,1403471,201114,3.0,5
6,Lips Are Movin,2014-10-21 00:00:00,0,0,32.0,6
7,Jealous,2014-09-08 00:00:00,447964,72678,4.0,7
8,Love Me Harder,2014-08-24 00:00:00,247550,14785,1844.0,8
9,Shake It Off,2014-08-18 00:00:00,2479013,193297,6.0,2
10,All About That Bass,2014-09-09 00:00:00,1742327,252457,7.0,6
11,Animals,2014-08-25 00:00:00,0,0,80.0,9
12,I Don't F**k With You,2014-09-19 00:00:00,0,0,,10
13,The Heart Wants What It Wants,2014-01-01 00:00:00,756142,86503,8.0,11
14,The Hanging Tree,2014-11-21 00:00:00,0,0,,12
15,Centuries,2014-09-09 00:00:00,847866,127539,9.0,13
16,Only,2014-10-28 00:00:00,0,0,,14
17,Elastic Heart,2014-07-04 00:00:00,0,0,,15
18,No Type,2014-01-01 00:00:00,213297,46021,10.0,16
19,Tuesday,2014-09-01 00:00:00,0,0,,17
20,7/11,2014-11-24 00:00:00,0,0,,18
21,Stay With Me,2014-07-15 00:00:00,0,0,3.0,5
22,Waves,2013-11-22 00:00:00,0,0,,19
23,I Don't Mind,2014-11-21 00:00:00,0,0,,20
24,Habits (Stay High),2014-09-24 00:00:00,1052781,151438,11.0,21
25,Bang Bang,2014-10-10 00:00:00,0,0,,22
26,CoCo,2014-11-10 00:00:00,0,0,,23
27,Don't,2014-06-21 00:00:00,0,0,,4
28,Ghost,2014-06-06 00:00:00,0,0,,24
29,Hot Boy,2014-07-25 00:00:00,16798,5497,12.0,25
30,Chandelier,2014-03-17 00:00:00,3935586,355696,13.0,15
31,Heroes (We Could Be),2014-09-15 00:00:00,0,0,,26
32,Blame,2014-09-07 00:00:00,0,0,,27
33,Riptide,2013-09-03 00:00:00,0,0,,28
34,I Lived,2014-04-14 00:00:00,620567,111783,14.0,29
35,Time Of Our Lives,2014-11-21 00:00:00,0,0,,30
36,Don't Tell 'Em,2014-06-06 00:00:00,0,0,,31
37,Black Widow,2014-04-22 00:00:00,0,0,,32
