track_id_1,track_id_2,sim_degree
2,72,1.0
2,13,0.441825
2,69,0.334081
2,3,0.3324
2,39,0.309246
2,3,0.304773
2,6,0.293995
2,8479,0.282417
2,44,0.280331
2,7,0.275928
2,8579,0.27218
2,3,0.266358
2,10,0.264323
2,8,0.255666
2,8919,0.255136
2,8941,0.250351
2,161,0.232086
2,11,0.216453
2,3,0.209295
2,9125,0.204678
2,3,0.1948
2,3,0.190824
2,3,0.181563
2,203,0.172662
2,133,0.172395
2,3,0.171597
2,7922,0.167307
2,436,0.16606
2,172,0.15986
2,3,0.151111
2,3,0.148974
2,30,0.146444
3,8990,1.0
3,4,0.378769
3,8429,0.235202
3,8963,0.221877
3,268,0.201741
3,379,0.170168
3,8652,0.16783
3,438,0.151155
3,7866,0.128579
3,7863,0.117543
3,3,0.0797809
3,3,0.0776786
3,7448,0.0721527
3,3,0.0714191
3,3,0.0694634
3,3,0.06919
3,7852,0.0687826
3,3,0.0684691
3,3,0.0614604
3,3,0.0551292
3,3,0.054534
3,3,0.0535027
3,3,0.052896
3,3,0.0520995
3,3,0.0483606
3,3,0.047596
3,3,0.0468669
4,8990,0.26185
4,6044,0.185228
4,6039,0.158701
4,69,0.0385645
4,2,0.0331882
4,10,0.0329882
4,39,0.0327995
4,11,0.0299771
4,179,0.0289984
4,9007,0.028552
4,9,0.0275336
4,172,0.026711
4,7,0.0253352
4,6,0.024207
4,133,0.0232995
4,171,0.023231
4,13,0.0215746
4,267,0.020858
4,161,0.0206352
4,234,0.0200392
4,34,0.0199901
4,8283,0.0193699
4,93,0.0193282
4,8479,0.0189491
4,438,0.0187169
5,9094,0.985634
5,4,0.474583
5,8990,0.140135
5,3,0.099321
5,8201,0.033596
5,3,0.0305604
5,3,0.0290467
5,10,0.0175257
5,3,0.0170034
5,11,0.0145659
5,179,0.0135437
5,171,0.0132185
5,172,0.0128903
5,7,0.0127443
5,9007,0.0125335
5,3,0.0122551
5,2,0.0120332
5,69,0.0120173
5,133,0.0119278
5,8283,0.011738
6,3,0.623766
6,13,0.611693
6,44,0.607989
6,7,0.595743
6,2,0.579629
6,3,0.524816
6,112,0.492969
6,9,0.463969
6,117,0.462764
6,3,0.446387
6,69,0.429393
6,11,0.427343
6,8479,0.419611
6,133,0.400066
6,8919,0.387286
6,203,0.37828
6,3,0.363803
6,106,0.36328
6,161,0.336298
6,8941,0.336296
6,156,0.332184
6,9077,0.299453
6,39,0.284602
6,3,0.261001
6,172,0.258803
6,8283,0.257551
6,3,0.255392
6,171,0.24522
6,252,0.244644
6,277,0.235378
6,3,0.222315
6,8373,0.205031
7,13,0.541859
7,69,0.483909
7,6,0.483057
7,3,0.479818
7,2,0.441109
7,44,0.419119
7,9,0.417358
7,11,0.407792
7,8479,0.397762
7,10,0.36746
7,8,0.360631
7,9125,0.34817
7,133,0.343225
7,8579,0.337853
7,39,0.326089
7,156,0.317228
7,3,0.313935
7,3,0.293255
7,250,0.277517
7,3,0.270693
7,8941,0.255999
7,117,0.255173
7,8919,0.24861
7,8283,0.245868
7,3,0.243291
7,252,0.233622
7,171,0.231182
7,649,0.229447
7,9077,0.204864
7,8921,0.199128
7,308,0.188414
7,30,0.163138
8,8599,1.0
8,2,0.425747
8,3,0.407875
8,8778,0.386422
8,7,0.375656
8,3,0.37055
8,3,0.340557
8,3,0.325557
8,44,0.324161
8,9125,0.296277
8,250,0.259505
8,308,0.191721
8,8925,0.186163
8,8461,0.178642
8,556,0.159309
8,3,0.146708
8,175,0.139354
8,3,0.134332
8,3,0.104364
8,3,0.10373
8,3,0.0987128
8,3,0.074696
8,13,0.0219346
8,102,0.0198129
8,3,0.0182325
8,156,0.0145989
8,3,0.0143749
8,3,0.0140059
8,10,0.0138353
8,3,0.0136355
8,3,0.0130795
8,6,0.0128689
8,3,0.0127846
8,3,0.0125052
8,7922,0.0124158
9,113,0.937747
9,8479,0.530662
9,102,0.473524
9,10,0.463606
9,8579,0.421229
9,161,0.388645
9,13,0.381084
9,9125,0.38098
9,3,0.373951
9,69,0.355021
9,203,0.324219
9,7,0.315905
9,3,0.312311
9,172,0.312223
9,11,0.303747
9,3,0.288724
9,6,0.284759
9,9080,0.280376
9,3,0.273008
9,7922,0.268502
9,24,0.26208
9,30,0.257894
9,252,0.253535
9,44,0.240663
9,436,0.235116
9,649,0.23382
9,133,0.222716
9,9077,0.216547
9,8014,0.211242
9,3,0.209581
9,8941,0.206776
9,3,0.203494
9,369,0.202191
9,713,0.19537
9,3,0.19466
10,6,1.0
10,9,0.910088
10,161,0.804768
10,8479,0.801948
10,203,0.788689
10,11,0.759172
10,24,0.681583
10,172,0.678187
10,171,0.671561
10,30,0.652351
10,133,0.635336
10,2,0.627867
10,3,0.581371
10,7,0.546
10,69,0.541864
10,252,0.540925
10,195,0.533083
10,3,0.520927
10,3,0.519188
10,267,0.494513
10,3,0.463204
10,93,0.444956
10,112,0.435576
10,8373,0.401651
10,3,0.3814
10,3,0.332156
10,8454,0.292762
10,7933,0.281674
10,8468,0.276805
11,172,1.0
11,10,0.455624
11,15,0.376534
11,8479,0.367517
11,7,0.363653
11,133,0.360505
11,9,0.357859
11,171,0.345535
11,3,0.339456
11,161,0.323032
11,69,0.312163
11,6,0.309004
11,2,0.308576
11,3,0.303174
11,234,0.301861
11,203,0.286962
11,30,0.275946
11,210,0.259581
11,34,0.252872
11,64,0.25086
11,3,0.250565
11,112,0.244058
11,8460,0.227226
11,252,0.221255
11,8373,0.215255
11,289,0.214496
11,3,0.208251
11,334,0.19338
11,273,0.179295
11,798,0.156241
11,3,0.146645
11,1020,0.141811
11,818,0.139463
11,176,0.133093
13,2,0.883056
13,649,0.784525
13,3,0.751745
13,44,0.710841
13,7,0.677443
13,3,0.666734
13,8575,0.629463
13,6,0.620098
13,8579,0.568628
13,3,0.546896
13,8941,0.495899
13,8919,0.487473
13,69,0.483473
13,9125,0.476261
13,3,0.440417
13,3,0.394354
13,8925,0.393664
13,3,0.374123
13,203,0.374089
13,175,0.359032
13,7922,0.345535
13,3,0.344355
13,3,0.339204
13,436,0.337325
13,369,0.305426
13,2010,0.29527
13,3,0.275277
13,964,0.262299
13,4349,0.261012
15,9014,0.958028
15,11,0.700407
15,64,0.555618
15,172,0.450073
15,3,0.412625
15,3435,0.353427
15,273,0.341826
15,387,0.279854
15,3953,0.250862
15,3,0.231429
15,3880,0.226515
15,3968,0.216253
15,8867,0.201931
15,806,0.199696
15,3,0.18877
15,4170,0.182768
15,3,0.174295
15,3,0.170509
15,442,0.161799
15,3,0.157608
15,937,0.148277
15,3527,0.146932
