"album_id";"name";"lastfm_playcount";"lastfm_listeners"
"1";"1989";"5153810";"56798"
"2";"x";"1128578";"25634"
"3";"In the Lonely Hour";"1314365";"71085"
"4";"Jealous";"0";"1"
"6";"Shake It Off";"520856";"107117"
"7";"All About That Bass";"1120982";"198065"
"8";"For You";"884742";"76258"
"9";"American Beauty / American Psycho";"471062";"9903"
"10";"No Type";"132447";"33039"
"11";"Truth Serum";"1498939";"183685"
"12";"Hot Boy";"16445";"4805"
"13";"1000 Forms of Fear";"0";"0"
"14";"Native";"0";"0"
"15";"Rude";"685258";"135263"
"16";"Something In the Water";"60787";"19077"
"17";"Sledgehammer";"0";"1"
"18";"Love Me Like You Do";"577865";"98653"
"19";"Try Me";"43250";"15204"
"20";"Let It Go";"266442";"48886"
"21";"Moonshine In The Trunk";"93825";"11694"
"22";"The Big Revival";"88627";"13984"
"23";"I Don't Dance";"10247";"1284"
"24";"Old Boots, New Dirt";"82702";"6528"
"25";"A.M.";"0";"1"
"26";"2014 Forest Hills Drive";"1338966";"65810"
"27";"Fuse";"435151";"24120"
"28";"Cole Swindell";"112026";"12242"
"29";"Blank Space";"15738";"4126"
"30";"Take It On Back";"5280";"1371"
"31";"Days of Gold";"222950";"31587"
"32";"Title";"478631";"44807"
"33";"A Guy Walks Into a Bar";"22979";"7171"
"34";"Bringing Back the Sunshine";"123650";"16215"
"35";"Anaconda";"592650";"106600"
"36";"Black Star Elephant";"0";"0"
"37";"The Hunger Games: Mockingjay, Part 1";"12852";"395"
"38";"Sweet Talker";"732461";"57953"
"39";"SUCKER";"1970563";"69123"
"40";"Can't Stop Dancin'";"108234";"28589"
"41";"Merry Christmas";"2905027";"480566"
"42";"SremmLife";"403144";"34911"
"43";"Songs of Anarchy, Vol. 4";"0";"1"
"44";"0 To 100 / The Catch Up";"295040";"73736"
"45";"Burnin' It Down";"48071";"13243"
"46";"Pain Killer";"80948";"11932"
"47";"PRISM";"7945394";"318876"
"48";"Crash My Party";"889875";"70838"
"49";"Boom Clap";"745118";"137953"
"50";"Girl";"81329";"5145"
"51";"Sunshine & Whiskey";"101598";"17426"
"52";"5 Seconds of Summer";"1219496";"86748"
"53";"Four";"1214470";"13572"
"54";"Am I Wrong";"0";"1"
"55";"Maps";"0";"1"
"56";"No Label II";"141679";"15648"
"57";"SHMURDA SHE WROTE";"40964";"7896"
"58";"Thriller";"7868200";"941444"
"59";"Upside Out";"124550";"28625"
"60";"American Kids";"81539";"25723"
"61";"Ghost Stories";"5010887";"218844"
"62";"Ignite The Night";"0";"1"
"63";"Shower";"637570";"121470"
"64";"Glenn Campbell I'll Be Me Soundtrack";"165";"19"
"65";"Bo$$";"202802";"40667"
"66";"The Days";"407406";"98656"
"67";"Errrbody";"0";"1"
"68";"Later On";"24468";"6757"
"69";"Bartender";"54088";"12462"
"70";"U Guessed It";"2200";"580"
"71";"Riser";"244050";"32362"
"72";"Anything Goes";"151044";"15166"
"73";"Angel in Blue Jeans";"92995";"29908"
"74";"This Is All Yours";"5634998";"212286"
"75";"The Pinkprint";"1103660";"59409"
"76";"The New Classic";"0";"0"
"77";"XSCAPE";"0";"1"
"78";"Good Kisser";"98224";"31411"
"79";"Turn Down for What";"370563";"101374"
"80";"V";"1697675";"112973"
"81";"River Bank";"42942";"11815"
"82";"Blacc Hollywood";"0";"1"
"83";"I Don't Dance (Single)";"61087";"15798"
"84";"We Are Tonight";"128975";"20183"
"85";"Lunatic";"0";"0"
"86";"Lights Out";"762856";"64047"
"87";"Shakira.";"761561";"28308"
"88";"MKTO";"663058";"115407"
"89";"Bad Blood";"7327560";"372229"
"90";"I'm Ready";"15377";"2829"
"91";"Now That's What I Call Music! 51";"1382";"326"
"92";"Me and My Broken Heart";"458041";"95315"
"93";"Na Na";"140927";"37626"
"94";"Chasing the Sun";"145021";"14434"
"95";"Not a Bad Thing";"417671";"93650"
"96";"Pure Heroine";"0";"0"
"97";"Happy Little Pill";"152983";"33052"
"98";"She Twerkin";"21509";"7968"
"99";"Love Is Everything";"110424";"12002"
"100";"Pioneer";"396117";"31741"
"101";"Never Regret";"56275";"9056"
"102";"Bring You Back";"203887";"27546"
"103";"Night Visions";"0";"0"
"104";"Pop Psychology";"374509";"32862"
"105";"The Blessed Unrest";"1990538";"114113"
"106";"Ultraviolence";"0";"0"
"107";"Magic";"1506184";"252888"
"108";"Raging Fire";"54387";"16880"
"109";"Xo";"323319";"86613"
"110";"All the Little Lights";"0";"0"
"111";"It Goes Like This";"0";"0"
"112";"Thuga Thug";"877";"122"
"113";"High Noon";"53570";"11474"
"114";"More Than Just a Dream";"862090";"79654"
"115";"Fever";"521987";"132329"
"116";"Halcyon Days";"4802065";"260071"
"117";"Oxymoron";"1004220";"40715"
"118";"Based On A True Story...";"446101";"45999"
"119";"AM";"32570548";"565945"
"120";"Zion";"459430";"21244"
"121";"Slow Me Down";"70321";"10738"
"122";"Night Train";"724336";"46650"
"123";"Unorthodox Jukebox";"8752867";"467937"
"124";"The Andrea Faustini Collection";"1423";"33"
"125";"ARTPOP";"19937532";"215422"
"126";"See You Tonight";"151856";"22113"
"127";"Tribute";"0";"1"
"128";"Rebellious Soul";"124921";"8479"
"129";"I Thought I Was an Alien";"0";"1"
"130";"Megalithic Symphony";"6537084";"487336"
"131";"Nothing Was the Same";"0";"0"
"132";"Ordinary Love";"0";"1"
"133";"Discrete Luxury";"27414";"7810"
"134";"Baptized (Deluxe Version)";"345448";"20462"
"135";"The 1975";"5783540";"238902"
"136";"Chillin' It";"71879";"16325"
"137";"Helios";"642368";"40445"
"138";"Friday Night";"61530";"15060"
"139";"In a Tidal Wave of Mystery";"3456678";"240676"
"140";"I'm Sorry...";"2188373";"237818"
"141";"Whatever She's Got";"72690";"15510"
"142";"Me. I Am Mariah…The Elusive Chanteuse";"399465";"9276"
"143";"Uncaged";"786644";"58824"
"144";"Same Trailer Different Park";"1179104";"58757"
"145";"Tattoos";"1218384";"175158"
"146";"Wasting All These Tears";"91741";"18261"
"147";"Drunk Last Night";"75723";"18348"
"148";"How I Feel";"111451";"31855"
"149";"Save Rock and Roll";"9398284";"242406"
"150";"Journals";"977117";"23358"
"151";"Zendaya";"421591";"28860"
