"album_id";"track_id";"position"
"4";"1";"0"
"1";"2";"2"
"1827";"3";"1"
"2";"4";"11"
"3";"5";"5"
"32";"6";"11"
"4";"7";"1"
"1844";"8";"0"
"6";"9";"1"
"7";"10";"1"
"80";"11";"2"
"8";"13";"1"
"9";"15";"3"
"10";"18";"1"
"3";"21";"3"
"11";"24";"4"
"12";"29";"1"
"13";"30";"1"
"14";"34";"6"
"15";"38";"1"
"53";"39";"7"
"16";"41";"1"
"17";"44";"1"
"18";"45";"1"
"19";"47";"1"
"20";"48";"13"
"48";"51";"7"
"21";"57";"3"
"22";"62";"3"
"23";"67";"6"
"24";"68";"1"
"53";"69";"1"
"1";"72";"3"
"25";"73";"3"
"102";"74";"9"
"1835";"75";"1"
"9";"77";"1"
"26";"79";"11"
"27";"84";"1"
"28";"89";"6"
"29";"90";"1"
"30";"92";"1"
"31";"94";"9"
"32";"95";"3"
"33";"97";"1"
"34";"99";"2"
"145";"101";"5"
"35";"102";"1"
"36";"106";"14"
"37";"108";"7"
"38";"112";"7"
"1";"113";"8"
"39";"115";"2"
"40";"117";"1"
"32";"119";"9"
"41";"122";"2"
"26";"132";"3"
"42";"137";"3"
"43";"140";"11"
"26";"141";"9"
"44";"144";"1"
"45";"145";"1"
"46";"147";"2"
"47";"156";"7"
"48";"158";"4"
"49";"161";"1"
"50";"162";"5"
"51";"164";"2"
"52";"167";"3"
"53";"169";"11"
"54";"171";"1"
"55";"172";"1"
"1834";"173";"1"
"52";"174";"12"
"53";"175";"4"
"53";"176";"3"
"56";"177";"11"
"57";"178";"3"
"53";"181";"2"
"58";"184";"1"
"1";"187";"1"
"59";"188";"3"
"1";"189";"9"
"60";"190";"1"
"28";"191";"4"
"61";"192";"8"
"1";"194";"4"
"56";"197";"10"
"62";"202";"1"
"63";"203";"1"
"64";"207";"1"
"65";"208";"1"
"66";"210";"1"
"67";"213";"1"
"68";"214";"1"
"69";"217";"1"
"70";"221";"1"
"24";"224";"7"
"71";"225";"6"
"72";"226";"1"
"73";"227";"1"
"74";"229";"5"
"24";"235";"14"
"75";"236";"14"
"1810";"240";"8"
"24";"241";"15"
"76";"242";"7"
"77";"243";"17"
"24";"246";"5"
"78";"247";"1"
"79";"248";"1"
"153";"249";"4"
"80";"250";"3"
"81";"253";"1"
"82";"255";"2"
"83";"256";"1"
"84";"257";"5"
"25";"259";"7"
"50";"260";"6"
"85";"261";"1"
"86";"262";"2"
"2";"263";"3"
"87";"266";"1"
"88";"267";"2"
"89";"268";"1"
"52";"270";"1"
"90";"271";"1"
"91";"273";"8"
"92";"274";"3"
"31";"275";"2"
"47";"277";"3"
"93";"280";"1"
"94";"282";"1"
"95";"284";"2"
"48";"285";"9"
"96";"287";"1"
"97";"289";"1"
"52";"291";"6"
"98";"296";"1"
"99";"299";"1"
"100";"300";"9"
"101";"306";"2"
"52";"316";"4"
"2";"317";"12"
"102";"319";"7"
"103";"322";"5"
"87";"326";"3"
"104";"327";"3"
"105";"328";"9"
"106";"332";"2"
"107";"334";"1"
"108";"335";"1"
"27";"341";"3"
"109";"342";"1"
"52";"343";"2"
"58";"346";"8"
"77";"347";"5"
"110";"348";"2"
"111";"349";"3"
"3";"353";"4"
"112";"354";"14"
"61";"356";"5"
"113";"359";"3"
"114";"360";"3"
"115";"361";"1"
"2";"362";"1"
"116";"366";"14"
"117";"376";"12"
"118";"377";"7"
"177";"387";"9"
"71";"392";"3"
"119";"394";"1"
"51";"396";"4"
"120";"397";"4"
"121";"400";"1"
"122";"403";"2"
"89";"406";"3"
"47";"409";"1"
"123";"413";"1"
"105";"415";"1"
"124";"416";"11"
"125";"417";"3"
"126";"418";"2"
"48";"421";"6"
"127";"424";"2"
"128";"425";"4"
"129";"426";"4"
"130";"428";"10"
"131";"430";"10"
"132";"431";"1"
"133";"435";"4"
"47";"436";"5"
"134";"437";"2"
"135";"438";"4"
"136";"440";"1"
