"artist_id";"echonest";"lastfm";"spotify";"sevendigital";"apple"
"1";;;;;
"2";"ARS54I31187FB46721";"69989475-2971-49aa-8c53-5d74af88b8be";"06HL4z0CvFAxyc27GXpf02";"253545";"159260351"
"3";"ARKLCET1407EC5357C";"20395131-fbde-43ce-b141-b700cfdae99c";"2FXC3k01G6Gw61bmprjgqS";"1968980";"342260741"
"4";"ARSDWSZ122ECCB706A";"2f548675-008d-4332-876c-108b0c7ab9c5";"6eUKZXaKkcviH0Ku9w2n3V";"603309";"183313439"
"5";"ARUZM8A11C8A41519C";"e520459c-dff4-491d-a6e4-c97be35e0044";"2wY79sveU1sp5g7SokKOiI";"250807";"156488786"
"6";"ARGUQXQ12D5CD78CB1";"16a72d59-8aae-42be-be6b-00229d44621f";"6JL8zeS1NmiOftqZTRgdTz";"2314730";"348580754"
"7";"AR0SJVA11C8A414FDE";"122d63fc-8671-43e4-9752-34e846d62a9c";"4Rxn7Im3LGfyRkY2FlHhWi";"760405";"286541773"
"8";;"122d63fc-8671-43e4-9752-34e846d62a9c";"4Rxn7Im3LGfyRkY2FlHhWi";;"412778295"
"9";"ARF5M7Q1187FB501E8";"11ed83a4-0097-4322-aa1e-8fea09def405";"04gDigrS5kc9YWfZHwBETP";"222";"1798556"
"10";;;"04gDigrS5kc9YWfZHwBETP";;
"11";"ARZ5NER11A348F0B33";"0b108024-ccb5-468f-b2e9-77ed4f5615c6";"0C8ZW7ezQVs4URX5aX7Kqx";"298887";"280215834"
"12";;;"0C8ZW7ezQVs4URX5aX7Kqx";;
"13";"ARSG7NQ1187FB57482";"b8a7c51f-362c-4dcb-a259-bc6e0095f0a6";"4UXqAaa6dQYAk18Lv7PEgX";"8860";"28673423"
"14";;;"4UXqAaa6dQYAk18Lv7PEgX";;
"15";"AR6ENUY1187B994158";"38da4c33-f0df-4030-ba34-2995e49d552e";"5WUlDfRSoLAfcVSX1WnrxN";"6";"13493906"
"16";"AROVIDL144862CEC08";"875203e1-8e58-4b86-8dcb-7190faf411c5";"7iZtZyCzp3LItcw1wtPI3D";"2264184";"829356035"
