"id";"date_spotify";"position_spotify";"no_of_listeners_spotify";"track_id"
"1";"2015-01-18 00:00:00";"1";"4842359";"8870"
"2";"2015-01-18 00:00:00";"2";"3881860";"4"
"3";"2015-01-18 00:00:00";"3";"3840814";"3"
"4";"2015-01-18 00:00:00";"4";"3090497";"5"
"5";"2015-01-18 00:00:00";"5";"2452188";"8913"
"6";"2015-01-18 00:00:00";"6";"2356292";"6"
"7";"2015-01-18 00:00:00";"7";"2338725";"8946"
"8";"2015-01-18 00:00:00";"8";"2321281";"8880"
"9";"2015-01-18 00:00:00";"9";"2283945";"8589"
"10";"2015-01-18 00:00:00";"10";"2066564";"8947"
"11";"2015-01-18 00:00:00";"11";"2010728";"20"
"12";"2015-01-18 00:00:00";"12";"1899076";"8948"
"13";"2015-01-18 00:00:00";"13";"1867252";"18"
"14";"2015-01-18 00:00:00";"14";"1838339";"7"
"15";"2015-01-18 00:00:00";"15";"1824788";"13"
"16";"2015-01-18 00:00:00";"16";"1798199";"21"
"17";"2015-01-18 00:00:00";"17";"1694605";"15"
"18";"2015-01-18 00:00:00";"18";"1664013";"8949"
"19";"2015-01-18 00:00:00";"19";"1590710";"33"
"20";"2015-01-18 00:00:00";"20";"1545366";"8875"
"21";"2015-01-18 00:00:00";"21";"1542026";"71"
"22";"2015-01-18 00:00:00";"22";"1497163";"10"
"23";"2015-01-18 00:00:00";"23";"1495973";"11"
"24";"2015-01-18 00:00:00";"24";"1484055";"39"
"25";"2015-01-18 00:00:00";"25";"1439052";"8603"
"26";"2015-01-18 00:00:00";"26";"1433842";"27"
"27";"2015-01-18 00:00:00";"27";"1432185";"8950"
"28";"2015-01-18 00:00:00";"28";"1424493";"30"
"29";"2015-01-18 00:00:00";"29";"1417394";"8795"
"30";"2015-01-18 00:00:00";"30";"1403574";"8951"
"31";"2015-01-18 00:00:00";"31";"1395358";"8524"
"32";"2015-01-18 00:00:00";"32";"1359274";"65"
"33";"2015-01-18 00:00:00";"33";"1340184";"69"
"34";"2015-01-18 00:00:00";"34";"1322785";"144"
"35";"2015-01-18 00:00:00";"35";"1318317";"101"
"36";"2015-01-18 00:00:00";"36";"1302116";"44"
"37";"2015-01-18 00:00:00";"37";"1290148";"43"
"38";"2015-01-18 00:00:00";"38";"1255617";"24"
"39";"2015-01-18 00:00:00";"39";"1224812";"8283"
"40";"2015-01-18 00:00:00";"40";"1216024";"26"
"41";"2015-01-18 00:00:00";"41";"1160665";"8952"
"42";"2015-01-18 00:00:00";"42";"1153826";"8953"
"43";"2015-01-18 00:00:00";"43";"1144138";"8954"
"44";"2015-01-18 00:00:00";"44";"1093536";"8459"
"45";"2015-01-18 00:00:00";"45";"1093087";"133"
"46";"2015-01-18 00:00:00";"46";"1087164";"8955"
"47";"2015-01-18 00:00:00";"47";"1077001";"8590"
"48";"2015-01-18 00:00:00";"48";"1026265";"55"
"49";"2015-01-18 00:00:00";"49";"981517";"8956"
"50";"2015-01-18 00:00:00";"50";"938814";"8957"
"51";"2015-01-18 00:00:00";"51";"911535";"8958"
"52";"2015-01-18 00:00:00";"52";"908499";"172"
"53";"2015-01-18 00:00:00";"53";"907660";"8280"
"54";"2015-01-18 00:00:00";"54";"900898";"387"
"55";"2015-01-18 00:00:00";"55";"886466";"141"
"56";"2015-01-18 00:00:00";"56";"884552";"17"
"57";"2015-01-18 00:00:00";"57";"869719";"8912"
"58";"2015-01-18 00:00:00";"58";"868415";"159"
"59";"2015-01-18 00:00:00";"59";"867916";"132"
"60";"2015-01-18 00:00:00";"60";"864992";"8596"
"61";"2015-01-18 00:00:00";"61";"861798";"28"
"62";"2015-01-18 00:00:00";"62";"844442";"8959"
"63";"2015-01-18 00:00:00";"63";"832632";"38"
"64";"2015-01-18 00:00:00";"64";"830784";"8960"
"65";"2015-01-18 00:00:00";"65";"812609";"8961"
"66";"2015-01-18 00:00:00";"66";"799615";"8874"
"67";"2015-01-18 00:00:00";"67";"794708";"8889"
"68";"2015-01-18 00:00:00";"68";"783786";"215"
"69";"2015-01-18 00:00:00";"69";"775913";"348"
"70";"2015-01-18 00:00:00";"70";"763608";"8295"
"71";"2015-01-18 00:00:00";"71";"761687";"192"
"72";"2015-01-18 00:00:00";"72";"744144";"8962"
"73";"2015-01-18 00:00:00";"73";"740474";"8963"
"74";"2015-01-18 00:00:00";"74";"737471";"8964"
"75";"2015-01-18 00:00:00";"75";"735703";"8929"
"76";"2015-01-18 00:00:00";"76";"729935";"394"
"77";"2015-01-18 00:00:00";"77";"717640";"173"
"78";"2015-01-18 00:00:00";"78";"715082";"171"
"79";"2015-01-18 00:00:00";"79";"710492";"268"
"80";"2015-01-18 00:00:00";"80";"704807";"93"
"81";"2015-01-18 00:00:00";"81";"704106";"240"
"82";"2015-01-18 00:00:00";"82";"702538";"7933"
"83";"2015-01-18 00:00:00";"83";"700883";"318"
"84";"2015-01-18 00:00:00";"84";"684644";"8965"
