"track_id";"title";"release_date";"lastfm_playcount";"lastfm_listeners"
"1";"Uptown Funk!";"2014-11-10 00:00:00";"0";"0"
"2";"Blank Space";"2014-10-27 00:00:00";"1822265";"92902"
"3";"Take Me To Church";"2014-05-20 00:00:00";"0";"0"
"4";"Thinking Out Loud";"2014-06-21 00:00:00";"1654222";"233802"
"5";"I'm Not The Only One";"2014-07-15 00:00:00";"1403471";"201114"
"6";"Lips Are Movin";"2014-10-21 00:00:00";"0";"0"
"7";"Jealous";"2014-09-08 00:00:00";"447964";"72678"
"8";"Love Me Harder";"2014-08-24 00:00:00";"247550";"14785"
"9";"Shake It Off";"2014-08-18 00:00:00";"2479013";"193297"
"10";"All About That Bass";"2014-09-09 00:00:00";"1742327";"252457"
"11";"Animals";"2014-08-25 00:00:00";"0";"0"
"12";"I Don't F**k With You";"2014-09-19 00:00:00";"0";"0"
"13";"The Heart Wants What It Wants";"2014-01-01 00:00:00";"756142";"86503"
"14";"The Hanging Tree";"2014-11-21 00:00:00";"0";"0"
"15";"Centuries";"2014-09-09 00:00:00";"847866";"127539"
"16";"Only";"2014-10-28 00:00:00";"0";"0"
"17";"Elastic Heart";"2014-07-04 00:00:00";"0";"0"
"18";"No Type";"2014-01-01 00:00:00";"213297";"46021"
"19";"Tuesday";"2014-09-01 00:00:00";"0";"0"
"20";"7/11";"2014-11-24 00:00:00";"0";"0"
"21";"Stay With Me";"2014-07-15 00:00:00";"0";"0"
"22";"Waves";"2013-11-22 00:00:00";"0";"0"
"23";"I Don't Mind";"2014-11-21 00:00:00";"0";"0"
"24";"Habits (Stay High)";"2014-09-24 00:00:00";"1052781";"151438"
"25";"Bang Bang";"2014-10-10 00:00:00";"0";"0"
"26";"CoCo";"2014-11-10 00:00:00";"0";"0"
"27";"Don't";"2014-06-21 00:00:00";"0";"0"
"28";"Ghost";"2014-06-06 00:00:00";"0";"0"
"29";"Hot Boy";"2014-07-25 00:00:00";"16798";"5497"
"30";"Chandelier";"2014-03-17 00:00:00";"3935586";"355696"
"31";"Heroes (We Could Be)";"2014-09-15 00:00:00";"0";"0"
"32";"Blame";"2014-09-07 00:00:00";"0";"0"
"33";"Riptide";"2013-09-03 00:00:00";"0";"0"
"34";"I Lived";"2014-04-14 00:00:00";"620567";"111783"
"35";"Time Of Our Lives";"2014-11-21 00:00:00";"0";"0"
"36";"Don't Tell 'Em";"2014-06-06 00:00:00";"0";"0"
"37";"Black Widow";"2014-04-22 00:00:00";"0";"0"
"38";"Rude";"2014-06-25 00:00:00";"1725041";"245431"
"39";"Night Changes";"2014-11-17 00:00:00";"0";"0"
"40";"Ayo";"2015-01-06 00:00:00";"0";"0"
"41";"Something In The Water";"2014-09-29 00:00:00";"114537";"23492"
"42";"Beg For It";"2014-10-24 00:00:00";"0";"0"
"43";"Stolen Dance";"2014-03-27 00:00:00";"0";"0"
"44";"Sledgehammer";"2014-10-29 00:00:00";"348936";"49395"
"45";"Love Me Like You Do";"2015-01-07 00:00:00";"198575";"16500"
"46";"Rather Be";"2014-01-17 00:00:00";"0";"0"
"47";"Try Me";"2014-10-15 00:00:00";"46689";"15064"
"48";"Shotgun Rider";"2014-01-01 00:00:00";"47781";"13241"
"49";"G.D.F.R.";"2014-09-29 00:00:00";"0";"0"
"50";"Talladega";"2014-02-11 00:00:00";"0";"0"
"51";"I See You";"2013-08-13 00:00:00";"0";"0"
"52";"Sun Daze";"2014-09-17 00:00:00";"39891";"12214"
"53";"Prayer In C";"2010-05-31 00:00:00";"0";"0"
"54";"Only One";"2015-01-08 00:00:00";"0";"0"
"55";"L.A.LOVE (la la)";"2014-01-01 00:00:00";"0";"0"
"56";"She Knows";"2014-09-16 00:00:00";"0";"0"
"57";"Perfect Storm";"2014-08-22 00:00:00";"38452";"12392"
"58";"Touchin, Lovin";"2014-07-02 00:00:00";"0";"0"
"59";"Lonely Tonight";"2014-09-30 00:00:00";"0";"0"
"60";"Hold You Down";"2014-08-11 00:00:00";"0";"0"
"61";"Feeling Myself";"2014-12-12 00:00:00";"0";"0"
"62";"Til It's Gone";"2014-09-22 00:00:00";"23033";"7798"
"63";"Stuck On A Feeling";"2014-11-24 00:00:00";"0";"0"
"64";"I Bet My Life";"2014-10-27 00:00:00";"0";"0"
"65";"Often";"2014-08-08 00:00:00";"0";"0"
"66";"Make Me Wanna";"2013-11-15 00:00:00";"0";"0"
"67";"Drinking Class";"2014-09-12 00:00:00";"33543";"9663"
"68";"Just Gettin' Started";"2014-09-30 00:00:00";"11398";"2813"
"69";"Steal My Girl";"2014-09-29 00:00:00";"0";"0"
"70";"God Made Girls";"2014-07-01 00:00:00";"0";"0"
"71";"Shut Up And Dance";"2014-11-24 00:00:00";"0";"0"
"72";"Style";"2014-10-27 00:00:00";"1110899";"63974"
"73";"Lonely Eyes";"2013-09-16 00:00:00";"27082";"6746"
"74";"Mean To Me";"2013-08-06 00:00:00";"0";"0"
"75";"Take Your Time";"2014-10-24 00:00:00";"0";"0"
"76";"Outside";"2014-10-31 00:00:00";"0";"0"
"77";"Irresistible";"2015-01-05 00:00:00";"173393";"34341"
"78";"Like A Cowboy";"0000-00-00 00:00:00";"0";"0"
"79";"Apparently";"2014-12-09 00:00:00";"106228";"27314"
"80";"Homegrown Honey";"2014-09-24 00:00:00";"0";"0"
"81";"Dangerous";"2014-10-06 00:00:00";"0";"0"
"82";"Earned It (Fifty Shades Of Grey)";"2014-12-23 00:00:00";"0";"0"
"83";"Body Language";"2014-09-09 00:00:00";"0";"0"
"84";"Somewhere In My Car";"2014-07-08 00:00:00";"180561";"16182"
"85";"Throw Sum Mo";"2015-01-06 00:00:00";"0";"0"
"86";"Close Your Eyes";"2013-12-10 00:00:00";"0";"0"
"87";"Best Friends";"2013-05-17 00:00:00";"0";"0"
"88";"***Flawless";"2014-11-24 00:00:00";"0";"0"
"89";"Ain't Worth The Whiskey";"2014-02-11 00:00:00";"19698";"5236"
"90";"Blank Space";"2014-12-05 00:00:00";"11121";"3170"
"91";"No Love";"2014-08-05 00:00:00";"0";"0"
"92";"Take It On Back";"2014-07-14 00:00:00";"11427";"2606"
"93";"Geronimo";"2014-03-21 00:00:00";"0";"0"
"94";"What We Ain't Got";"2013-12-02 00:00:00";"20870";"5897"
"95";"Dear Future Husband";"2014-09-09 00:00:00";"164749";"32206"
"96";"Not For Long";"2014-10-14 00:00:00";"0";"0"
"97";"A Guy Walks Into A Bar";"2014-07-28 00:00:00";"22019";"6535"
"98";"Post To Be";"2014-11-11 00:00:00";"0";"0"
"99";"Neon Light";"2014-09-30 00:00:00";"60935";"18752"
"100";"All About It";"2015-01-30 10:54:24";"0";"0"
"101";"Trumpets";"2013-09-10 00:00:00";"0";"0"
"102";"Anaconda";"2014-07-23 00:00:00";"1425633";"153970"
"103";"Lifestyle";"2014-06-05 00:00:00";"0";"0"
"104";"Try";"2014-06-09 00:00:00";"0";"0"
"105";"Something Big";"2014-11-07 00:00:00";"0";"0"
"106";"In Your Arms";"0000-00-00 00:00:00";"173960";"47676"
"107";"Bed Of Lies";"2014-12-12 00:00:00";"0";"0"
"108";"Yellow Flicker Beat";"2014-09-30 00:00:00";"784217";"104536"
"109";"I Mean It";"2014-05-13 00:00:00";"0";"0"
"110";"Santa Tell Me";"2014-11-24 00:00:00";"0";"0"
"111";"Mary, Did You Know?";"2014-10-17 00:00:00";"0";"0"
"112";"Masterpiece";"2014-10-10 00:00:00";"163780";"28970"
"113";"Bad Blood";"2014-10-27 00:00:00";"650377";"54756"
"114";"Burnin' Up";"2014-10-10 00:00:00";"0";"0"
"115";"Break The Rules";"2014-12-15 00:00:00";"552365";"76803"
"116";"Bad B*tch";"2015-01-30 10:54:26";"0";"0"
"117";"Can't Stop Dancin'";"2014-11-04 00:00:00";"115215";"24533"
"118";"Shell Shocked";"2015-01-30 10:54:27";"0";"0"
"119";"Title";"2014-09-09 00:00:00";"0";"0"
"120";"Wasted Love";"2014-07-22 00:00:00";"0";"0"
"121";"My Baby's Got A Smile On Her Face";"0000-00-00 00:00:00";"0";"0"
"122";"All I Want For Christmas Is You";"2013-09-20 00:00:00";"2237552";"510966"
"123";"Velvet";"2011-08-30 00:00:00";"0";"0"
"124";"About The Money";"2014-06-03 00:00:00";"0";"0"
"125";"Bed Of Lies";"2014-11-16 00:00:00";"0";"0"
"126";"Lost Without U";"2006-03-21 00:00:00";"0";"0"
"127";"Soldier";"2011-09-16 00:00:00";"0";"0"
"128";"Lost Stars";"2014-07-01 00:00:00";"0";"0"
"129";"Girl In A Country Song";"2014-07-16 00:00:00";"0";"0"
"130";"Get On Your Knees";"2014-12-12 00:00:00";"0";"0"
"131";"Fireball";"2014-07-23 00:00:00";"0";"0"
"132";"Wet Dreamz";"2014-12-09 00:00:00";"144376";"37364"
"133";"Cool Kids";"2013-10-08 00:00:00";"0";"0"
"134";"New Flame";"2014-06-29 00:00:00";"0";"0"
"135";"Make It Rain";"2012-05-25 00:00:00";"0";"0"
"136";"The Old Rugged Cross";"2014-12-08 00:00:00";"0";"0"
"137";"No Flex Zone";"2014-05-19 00:00:00";"117079";"27863"
"138";"Make It Rain";"2012-05-25 00:00:00";"0";"0"
"139";"Have Yourself A Merry Little Christmas";"2014-12-06 00:00:00";"0";"0"
"140";"Come Join The Murder";"0000-00-00 00:00:00";"7411";"841"
"141";"No Role Modelz";"2014-12-09 00:00:00";"128255";"28283"
"142";"When I Was Your Man";"2012-12-05 00:00:00";"0";"0"
"143";"The Blower's Daughter";"0000-00-00 00:00:00";"0";"0"
"144";"0 To 100 / The Catch Up";"2014-07-25 00:00:00";"326227";"75761"
"145";"Burnin' It Down";"2014-10-07 00:00:00";"86363";"18693"
